,Assay,Weighted Partial Correlation
"Caspase-3/7 induction in CHO-K1 cells by small molecules, qHTS assay: Summary","Caspase-3/7 induction in CHO-K1 cells by small molecules, qHTS assay: Summary",-0.0
"Caspase-3/7 induction in CHO-K1 cells by small molecules, qHTS cell viability counter screen","Caspase-3/7 induction in CHO-K1 cells by small molecules, qHTS cell viability counter screen",0.8968825770572165
"Caspase-3/7 induction in HepG2 cells by small molecules, qHTS assay","Caspase-3/7 induction in HepG2 cells by small molecules, qHTS assay",0.2125025611138172
"Caspase-3/7 induction in HepG2 cells by small molecules, qHTS assay: Summary","Caspase-3/7 induction in HepG2 cells by small molecules, qHTS assay: Summary",0.8050941426101431
"Caspase-3/7 induction in HepG2 cells by small molecules, qHTS cell viability counter screen","Caspase-3/7 induction in HepG2 cells by small molecules, qHTS cell viability counter screen",0.38934443360046184
Cell-based high throughput primary assay to identify activators of GPR151,Cell-based high throughput primary assay to identify activators of GPR151,0.17979616828129863
Compound was evaluated for inhibition of human ACHE in an vitro cell free assay measured by absorbance method,Compound was evaluated for inhibition of human ACHE in an vitro cell free assay measured by absorbance method,0.0
"Compound was evaluated for inhibition of human KCNH2 in an in vitro assay with cellular components measured by membrane filtration, radioactivity method","Compound was evaluated for inhibition of human KCNH2 in an in vitro assay with cellular components measured by membrane filtration, radioactivity method",0.0
Compound was evaluated for inhibition of human MAOA in an in vitro cell free assay measured by fluorescence spectroscopy,Compound was evaluated for inhibition of human MAOA in an in vitro cell free assay measured by fluorescence spectroscopy,0.0
Compound was evaluated for inhibition of human PDE3A in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,Compound was evaluated for inhibition of human PDE3A in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,0.0
Compound was evaluated for inhibition of human PDE4A in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,Compound was evaluated for inhibition of human PDE4A in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,0.0
Compound was evaluated for inhibition of human PTGS1 in an in vitro cell free assay measured by fluorescence method,Compound was evaluated for inhibition of human PTGS1 in an in vitro cell free assay measured by fluorescence method,0.0
Compound was evaluated for inhibition of human PTGS1 in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,Compound was evaluated for inhibition of human PTGS1 in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,0.0
Counterscreen for inhibitors of AddAB: absorbance-based bacterial cell-based high throughput screening assay to identify inhibitors of bacterial viability,Counterscreen for inhibitors of AddAB: absorbance-based bacterial cell-based high throughput screening assay to identify inhibitors of bacterial viability,0.38019261941237875
Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay,Cytochrome P450 Family 1 Subfamily A Member 2 (CYP1A2) small molecule antagonists: luciferase reporter qHTS assay,0.8982153664307126
Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay,Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay,0.6761942220759388
Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay,Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay,1.0
Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay,Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay,0.2870030868784649
Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay,Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay,0.8479524370598133
Cytochrome P450 family 2 subfamily C member 9 (CYP2C9) small molecule antagonists: luciferase cell-based qHTS assay,Cytochrome P450 family 2 subfamily C member 9 (CYP2C9) small molecule antagonists: luciferase cell-based qHTS assay,1.0
Cytochrome P450 family 2 subfamily D member 6 (CYP2D6) small molecule antagonists: luciferase cell-based qHTS assay,Cytochrome P450 family 2 subfamily D member 6 (CYP2D6) small molecule antagonists: luciferase cell-based qHTS assay,0.06802205513636442
Cytochrome P450 family 3 subfamily A member 4 (CYP3A4) small molecule antagonists: luciferase cell-based qHTS assay,Cytochrome P450 family 3 subfamily A member 4 (CYP3A4) small molecule antagonists: luciferase cell-based qHTS assay,0.9389038039295036
Cytochrome P450 family 3 subfamily A member 7 (CYP3A7) small molecule antagonists: luciferase cell-based qHTS assay,Cytochrome P450 family 3 subfamily A member 7 (CYP3A7) small molecule antagonists: luciferase cell-based qHTS assay,1.0
Cytochrome panel assay with activity outcomes,Cytochrome panel assay with activity outcomes,0.06127385571001668
Cytotoxic Profiling of Annotated Libraries Using Quantitative High-Throughput Screening,Cytotoxic Profiling of Annotated Libraries Using Quantitative High-Throughput Screening,0.24784517214054083
Cytotoxicity counterscreen for inhibitors of SARS-CoV-2 cell entry,Cytotoxicity counterscreen for inhibitors of SARS-CoV-2 cell entry,0.6145570994497375
DLD viability from Cell TiterGlo-screen,DLD viability from Cell TiterGlo-screen,0.46468098342401964
DSSTox (FDAMDD) FDA Maximum (Recommended) Daily Dose Database,DSSTox (FDAMDD) FDA Maximum (Recommended) Daily Dose Database,0.0
Dicer-mediated maturation of pre-microRNA,Dicer-mediated maturation of pre-microRNA,-0.0
Drug repurposing screens with cells derived from glioblastoma tumor samples,Drug repurposing screens with cells derived from glioblastoma tumor samples,0.20260419792671253
ERK5 transcriptional activity HTS,ERK5 transcriptional activity HTS,-0.0
Fluorescence polarization-based primary biochemical high throughput screening assay to identify inhibitors of the plasma platelet activating factor acetylhydrolase (pPAFAH),Fluorescence polarization-based primary biochemical high throughput screening assay to identify inhibitors of the plasma platelet activating factor acetylhydrolase (pPAFAH),0.12735609682553004
"Fluorescence-based cell-based primary high throughput screening assay to identify agonists of the human cholinergic receptor, muscarinic 1 (CHRM1)","Fluorescence-based cell-based primary high throughput screening assay to identify agonists of the human cholinergic receptor, muscarinic 1 (CHRM1)",0.0403179714647476
Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human M1 muscarinic receptor (CHRM1),Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human M1 muscarinic receptor (CHRM1),0.15561969712862056
"Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human cholinergic receptor, muscarinic 4 (CHRM4)","Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human cholinergic receptor, muscarinic 4 (CHRM4)",0.12267945499594059
"Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human cholinergic receptor, muscarinic 5 (CHRM5)","Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human cholinergic receptor, muscarinic 5 (CHRM5)",0.20286273120063214
GLP1 secretion from NCI-H716 cells-screen,GLP1 secretion from NCI-H716 cells-screen,0.28571915302583134
GSK3B-pretreated HCT116 viability from Cell TiterGlo-screen,GSK3B-pretreated HCT116 viability from Cell TiterGlo-screen,0.4496268046574017
HCT116 viability from Cell TiterGlo-screen,HCT116 viability from Cell TiterGlo-screen,0.4302049065271789
HTS Assay for Allosteric Antagonists of the Human D2 Dopamine Receptor: Primary Screen for Antagonists,HTS Assay for Allosteric Antagonists of the Human D2 Dopamine Receptor: Primary Screen for Antagonists,0.07042607457527562
HTS Assay for Peg3 Promoter Inhibitors,HTS Assay for Peg3 Promoter Inhibitors,0.06643469651421298
HTS for PAX8 inhibitors using PAX8 luciferase reporter gene assay in RMG-I cells Measured in Cell-Based System Using Plate Reader - 7054-01_Inhibitor_SinglePoint_HTS_Activity,HTS for PAX8 inhibitors using PAX8 luciferase reporter gene assay in RMG-I cells Measured in Cell-Based System Using Plate Reader - 7054-01_Inhibitor_SinglePoint_HTS_Activity,0.33215676111379483
HTS to identify compounds that promote myeloid differentiation with MLPCN compound set,HTS to identify compounds that promote myeloid differentiation with MLPCN compound set,-0.0
HTS-Luminescent assay for inhibitors of ALR by detection of hydrogen peroxide production Measured in Biochemical System Using Plate Reader - 2036-02_Inhibitor_SinglePoint_HTS,HTS-Luminescent assay for inhibitors of ALR by detection of hydrogen peroxide production Measured in Biochemical System Using Plate Reader - 2036-02_Inhibitor_SinglePoint_HTS,0.4406845109824383
High Throughput Screen to Identify Inhibitors of Mycobacterium tuberculosis H37Rv,High Throughput Screen to Identify Inhibitors of Mycobacterium tuberculosis H37Rv,0.512573284310018
High Throughput Screening Assay used to Identify Novel Compounds that Inhibit Mycobacterium Tuberculosis in 7H9 Media,High Throughput Screening Assay used to Identify Novel Compounds that Inhibit Mycobacterium Tuberculosis in 7H9 Media,0.23392004060453542
Human Ether-a-go-go-Related Gene (hERG) channel small molecule antagonists: fluorescence cell-based qHTS assay,Human Ether-a-go-go-Related Gene (hERG) channel small molecule antagonists: fluorescence cell-based qHTS assay,0.13847959708739224
"Human gonadotropin-releasing hormone receptor (GnRHR) small molecule agonists, calcium flux assay in GnRHR-HEK293 cells","Human gonadotropin-releasing hormone receptor (GnRHR) small molecule agonists, calcium flux assay in GnRHR-HEK293 cells",0.23199243621037666
"Human pregnane X receptor (PXR) activation by small molecules, qHTS assay","Human pregnane X receptor (PXR) activation by small molecules, qHTS assay",-0.0
"Human pregnane X receptor (PXR) small molecule agonists, qHTS assay","Human pregnane X receptor (PXR) small molecule agonists, qHTS assay",0.11460285006809198
"Human pregnane X receptor (PXR) small molecule agonists, qHTS cell viability counter screen","Human pregnane X receptor (PXR) small molecule agonists, qHTS cell viability counter screen",0.25973435432636977
Human pregnane X receptor (PXR) small molecule agonists: Summary,Human pregnane X receptor (PXR) small molecule agonists: Summary,0.4317601306881688
Identification of Small Molecule Correctors of the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) Delta508 Mutation Function in Human Bronchial Epithelial Cells. Measured in Cell-Based System Using Plate Reader - 7017-01_Other_SinglePoint_HTS_Activity,Identification of Small Molecule Correctors of the Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) Delta508 Mutation Function in Human Bronchial Epithelial Cells. Measured in Cell-Based System Using Plate Reader - 7017-01_Other_SinglePoint_HTS_Activity,0.08095577325318669
In vivo-based yeast HTS to detect compounds rescuing yeast growth/survival of Plasmodium Falciparum HSP40-mediated toxicity Measured in Whole Organism System Using Plate Reader - 2120-01_Inhibitor_SinglePoint_HTS_Activity,In vivo-based yeast HTS to detect compounds rescuing yeast growth/survival of Plasmodium Falciparum HSP40-mediated toxicity Measured in Whole Organism System Using Plate Reader - 2120-01_Inhibitor_SinglePoint_HTS_Activity,0.03374849423411547
Inhibition of human BSEP expressed in baculovirus transfected fall armyworm Sf21 cell membranes vesicles assessed as reduction in ATP-dependent [3H]-taurocholate transport into vesicles incubated for 5 mins by Topcount based rapid filtration method,Inhibition of human BSEP expressed in baculovirus transfected fall armyworm Sf21 cell membranes vesicles assessed as reduction in ATP-dependent [3H]-taurocholate transport into vesicles incubated for 5 mins by Topcount based rapid filtration method,0.0
Inhibitors of Epstein-Barr LMP1 inducible NF-kappaB luciferase reporter Measured in Cell-Based System Using Plate Reader - 2122-01_Inhibitor_SinglePoint_HTS_Activity,Inhibitors of Epstein-Barr LMP1 inducible NF-kappaB luciferase reporter Measured in Cell-Based System Using Plate Reader - 2122-01_Inhibitor_SinglePoint_HTS_Activity,0.02954444982245245
Inhibitors of USP1/UAF1: Pilot qHTS,Inhibitors of USP1/UAF1: Pilot qHTS,0.223851231261094
Inhibitors of the vitamin D receptor (VDR): qHTS,Inhibitors of the vitamin D receptor (VDR): qHTS,0.34499879823368945
Luminescence Cell-Based Primary HTS to Identify Inhibitors of Cancer Stem Cells,Luminescence Cell-Based Primary HTS to Identify Inhibitors of Cancer Stem Cells,-0.0
Luminescence Cell-Based Primary HTS to identify inhibitors of the oncoprotein EWS/Fli transcriptional activity Measured in Cell-Based System Using Plate Reader - 7014-01_Inhibitor_SinglePoint_HTS_Activity,Luminescence Cell-Based Primary HTS to identify inhibitors of the oncoprotein EWS/Fli transcriptional activity Measured in Cell-Based System Using Plate Reader - 7014-01_Inhibitor_SinglePoint_HTS_Activity,-0.0
Luminescence cell-based high throughput primary assay to identify inhibitors of TEAD-YAP interaction.,Luminescence cell-based high throughput primary assay to identify inhibitors of TEAD-YAP interaction.,0.18114373555739258
MELAS cybrid survival enhancement under low glucose conditions,MELAS cybrid survival enhancement under low glucose conditions,-0.0
MITF Measured in Cell-Based System Using Plate Reader - 2084-01_Inhibitor_SinglePoint_HTS_Activity,MITF Measured in Cell-Based System Using Plate Reader - 2084-01_Inhibitor_SinglePoint_HTS_Activity,0.07812643031756966
NCI In Vivo Anticancer Drug Screen. Data for tumor model  L1210 Leukemia (intraperitoneal) in B6D2F1 (BDF1) mice,NCI In Vivo Anticancer Drug Screen. Data for tumor model  L1210 Leukemia (intraperitoneal) in B6D2F1 (BDF1) mice,0.10661047224329492
NCI Yeast Anticancer Drug Screen. Data for the bub3 strain,NCI Yeast Anticancer Drug Screen. Data for the bub3 strain,-0.0
NCI Yeast Anticancer Drug Screen. Data for the cln2 rad14 strain,NCI Yeast Anticancer Drug Screen. Data for the cln2 rad14 strain,0.051679770116970385
NCI Yeast Anticancer Drug Screen. Data for the mec2 strain,NCI Yeast Anticancer Drug Screen. Data for the mec2 strain,0.06085118926416364
NCI Yeast Anticancer Drug Screen. Data for the mlh1 rad18 strain,NCI Yeast Anticancer Drug Screen. Data for the mlh1 rad18 strain,0.023982690141082823
NCI Yeast Anticancer Drug Screen. Data for the rad50 strain,NCI Yeast Anticancer Drug Screen. Data for the rad50 strain,0.03846795715110637
NCI Yeast Anticancer Drug Screen. Data for the sgs1 mgt1 strain,NCI Yeast Anticancer Drug Screen. Data for the sgs1 mgt1 strain,0.011373392205977441
"NCI human tumor cell line growth inhibition assay. Data for the 786-0 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the 786-0 Non-Small Cell Lung cell line, single concentration",0.12200820877780122
"NCI human tumor cell line growth inhibition assay. Data for the A498 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the A498 Non-Small Cell Lung cell line, single concentration",0.026458950984418774
"NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line, single concentration",0.08708555580925077
"NCI human tumor cell line growth inhibition assay. Data for the ACHN Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the ACHN Non-Small Cell Lung cell line, single concentration",-0.0
"NCI human tumor cell line growth inhibition assay. Data for the BT-549 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the BT-549 Non-Small Cell Lung cell line, single concentration",0.34821261319827673
"NCI human tumor cell line growth inhibition assay. Data for the CAKI Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the CAKI Non-Small Cell Lung cell line, single concentration",-0.0
"NCI human tumor cell line growth inhibition assay. Data for the CCRF-CEM Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the CCRF-CEM Non-Small Cell Lung cell line, single concentration",-0.0
"NCI human tumor cell line growth inhibition assay. Data for the COLO 205 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the COLO 205 Non-Small Cell Lung cell line, single concentration",0.17124051468733875
"NCI human tumor cell line growth inhibition assay. Data for the DU45 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the DU45 Non-Small Cell Lung cell line, single concentration",0.13185890458791966
"NCI human tumor cell line growth inhibition assay. Data for the HCC-2998 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the HCC-2998 Non-Small Cell Lung cell line, single concentration",0.02571006818834622
"NCI human tumor cell line growth inhibition assay. Data for the HCT16 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the HCT16 Non-Small Cell Lung cell line, single concentration",0.2568096704710653
"NCI human tumor cell line growth inhibition assay. Data for the HCT5 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the HCT5 Non-Small Cell Lung cell line, single concentration",0.15454098292492946
"NCI human tumor cell line growth inhibition assay. Data for the HL-60(TB) Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the HL-60(TB) Non-Small Cell Lung cell line, single concentration",0.3322498977599087
"NCI human tumor cell line growth inhibition assay. Data for the HOP-92 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the HOP-92 Non-Small Cell Lung cell line, single concentration",0.021444548061140118
"NCI human tumor cell line growth inhibition assay. Data for the HS 578T Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the HS 578T Non-Small Cell Lung cell line, single concentration",0.03722613314967209
"NCI human tumor cell line growth inhibition assay. Data for the HT29 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the HT29 Non-Small Cell Lung cell line, single concentration",-0.0
"NCI human tumor cell line growth inhibition assay. Data for the IGROV1 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the IGROV1 Non-Small Cell Lung cell line, single concentration",0.24318356938428595
"NCI human tumor cell line growth inhibition assay. Data for the K-562 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the K-562 Non-Small Cell Lung cell line, single concentration",0.05277412512996469
"NCI human tumor cell line growth inhibition assay. Data for the KM12 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the KM12 Non-Small Cell Lung cell line, single concentration",-0.0
"NCI human tumor cell line growth inhibition assay. Data for the LOX IMVI Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the LOX IMVI Non-Small Cell Lung cell line, single concentration",0.028301524732653287
"NCI human tumor cell line growth inhibition assay. Data for the M14 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the M14 Non-Small Cell Lung cell line, single concentration",-0.0
"NCI human tumor cell line growth inhibition assay. Data for the MALME-3M Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the MALME-3M Non-Small Cell Lung cell line, single concentration",0.17483754445867225
"NCI human tumor cell line growth inhibition assay. Data for the MCF7 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the MCF7 Non-Small Cell Lung cell line, single concentration",-0.0
"NCI human tumor cell line growth inhibition assay. Data for the MDA-MB-231/ATCC Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the MDA-MB-231/ATCC Non-Small Cell Lung cell line, single concentration",0.03307796434914769
"NCI human tumor cell line growth inhibition assay. Data for the MDA-MB-435 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the MDA-MB-435 Non-Small Cell Lung cell line, single concentration",0.029928862454075618
"NCI human tumor cell line growth inhibition assay. Data for the MOLT-4 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the MOLT-4 Non-Small Cell Lung cell line, single concentration",0.2786738321848459
"NCI human tumor cell line growth inhibition assay. Data for the NCI-H23 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the NCI-H23 Non-Small Cell Lung cell line, single concentration",0.09373257410009887
"NCI human tumor cell line growth inhibition assay. Data for the NCI-H460 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the NCI-H460 Non-Small Cell Lung cell line, single concentration",0.0999329489095457
"NCI human tumor cell line growth inhibition assay. Data for the NCI-H522 Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the NCI-H522 Non-Small Cell Lung cell line, single concentration",0.02336387863821383
"NCI human tumor cell line growth inhibition assay. Data for the NCI/ADR-RES Non-Small Cell Lung cell line, single concentration","NCI human tumor cell line growth inhibition assay. Data for the NCI/ADR-RES Non-Small Cell Lung cell line, single concentration",-0.0
